participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
82,8i481afx,601e1253bbecc3279e4fb472,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:11:10.584757,1,,,10.0,82,,0.0,1,1,qd0ydl2t,,,,,0
83,u8wx92id,61088c529cff73b187d19e6d,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:11:15.665505,1,,,5.0,83,,0.0,1,1,qd0ydl2t,,,,,0
84,tqq8tw11,616d9ef881036dfbfd63d2f4,0,15,24,ultimatum_human_strategy,GroupWaitPage,2021-12-13 18:11:21.989075,1,,,0.0,84,,0.0,1,1,qd0ydl2t,,,,,0
85,2fq6wncr,5f69f9dbe18c880116b0f178,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:11:24.895495,1,,,5.0,85,,0.0,1,1,qd0ydl2t,,,,,0
86,e9xv7r9a,615efd1df11a7d21f0f12f68,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:11:25.570212,1,,,10.0,86,,0.0,1,1,qd0ydl2t,,,,,0
87,yweb1me0,58a50aebbb9e0f0001aca2a7,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:12:04.830789,1,,,0.0,87,,0.0,1,1,qd0ydl2t,,,,,0
88,mf9cno75,568e7144e3ef9e000da20149,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:12:59.806459,1,,,20.0,88,,0.0,1,1,qd0ydl2t,,,,,0
89,xpw8xhd6,5ea90a840928983752c88275,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:13:48.099298,1,,,7.0,89,,0.0,1,1,qd0ydl2t,,,,,0
90,cz5zdcya,60fc7d423aa600bbb01b7813,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:13:52.126950,1,,,5.0,90,,0.0,1,1,qd0ydl2t,,,,,0
91,yvq2p5z2,6095a3cfda27eb98bb3b74f0,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:14:05.878342,1,,,5.0,91,,0.0,1,1,qd0ydl2t,,,,,0
