session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
qd0ydl2t,22,kvsgoivs,1,introduction,ID,1639418736,1,0,0
qd0ydl2t,25,96rtfup6,1,introduction,ID,1639418739,1,0,0
qd0ydl2t,14,3dumg7cv,2,introduction,Introduction,1639418741,1,0,0
qd0ydl2t,8,q42c5yh6,4,dictator_human,Instructions,1639418741,1,0,0
qd0ydl2t,13,2zkoy2m9,1,introduction,ID,1639418742,1,0,0
qd0ydl2t,7,u8ixqpqg,4,dictator_human,Instructions,1639418743,1,0,0
qd0ydl2t,6,b6ert0e3,17,ultimatum_human_strategy,Offer,1639418744,1,0,0
qd0ydl2t,20,3g62b71b,2,introduction,Introduction,1639418744,1,0,0
qd0ydl2t,14,3dumg7cv,3,dictator_human,GroupWaitPage,1639418744,1,0,1
qd0ydl2t,20,3g62b71b,3,dictator_human,GroupWaitPage,1639418744,1,0,1
qd0ydl2t,22,kvsgoivs,2,introduction,Introduction,1639418745,1,0,0
qd0ydl2t,25,96rtfup6,2,introduction,Introduction,1639418746,1,0,0
qd0ydl2t,11,chd3ixpk,16,ultimatum_human_strategy,Instructions,1639418747,1,0,0
qd0ydl2t,12,yqg8vbsw,2,introduction,Introduction,1639418750,1,0,0
qd0ydl2t,26,lqltbv1w,0,,InitializeParticipant,1639418750,1,0,0
qd0ydl2t,12,yqg8vbsw,15,ultimatum_human_strategy,GroupWaitPage,1639418751,1,0,1
qd0ydl2t,23,uabtjl8z,15,ultimatum_human_strategy,GroupWaitPage,1639418751,1,0,1
qd0ydl2t,14,3dumg7cv,4,dictator_human,Instructions,1639418752,1,0,0
qd0ydl2t,18,w6ey8iay,16,ultimatum_human_strategy,Instructions,1639418753,1,0,0
qd0ydl2t,3,88kiqr9x,9,trust_human_strategy,Instructions,1639418756,1,0,0
qd0ydl2t,9,9ryxnrou,9,trust_human_strategy,Instructions,1639418759,1,0,0
qd0ydl2t,13,2zkoy2m9,2,introduction,Introduction,1639418759,1,0,0
qd0ydl2t,6,b6ert0e3,18,ultimatum_human_strategy,Belief,1639418759,1,0,0
qd0ydl2t,13,2zkoy2m9,3,dictator_human,GroupWaitPage,1639418759,1,0,1
qd0ydl2t,25,96rtfup6,3,dictator_human,GroupWaitPage,1639418759,1,0,1
qd0ydl2t,21,mww9m1kw,1,introduction,ID,1639418759,1,0,0
qd0ydl2t,3,88kiqr9x,10,trust_human_strategy,Send,1639418759,1,0,0
qd0ydl2t,20,3g62b71b,4,dictator_human,Instructions,1639418760,1,0,0
qd0ydl2t,14,3dumg7cv,5,dictator_human,Decision,1639418762,1,0,0
qd0ydl2t,14,3dumg7cv,6,dictator_human,ResultsWaitPage,1639418762,1,0,1
qd0ydl2t,20,3g62b71b,6,dictator_human,ResultsWaitPage,1639418762,1,0,1
qd0ydl2t,11,chd3ixpk,19,ultimatum_human_strategy,Decision,1639418764,1,0,0
qd0ydl2t,6,b6ert0e3,20,ultimatum_human_strategy,ResultsWaitPage,1639418764,1,0,1
qd0ydl2t,11,chd3ixpk,20,ultimatum_human_strategy,ResultsWaitPage,1639418764,1,0,1
qd0ydl2t,14,3dumg7cv,7,dictator_human,Results,1639418765,1,0,0
