participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.prolific_ID,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
77,ctog2b89,5fd1a05738899d1bab2798ec,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:29:56.976851,1,,,10.0,77,,0.0,5fd1a05738899d1bab2798ec,1,1,al9gerxp,,,,,0
78,lo91mjw1,5e8eab0540aaf41584d9b1b9,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:29:56.982289,1,,,17.0,78,,0.0,5e8eab0540aaf41584d9b1b9,1,1,al9gerxp,,,,,0
79,vw3mccxt,5d1e5ece2e9ac30016b522c5,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:29:58.286237,1,,,0.0,79,,0.0,5d1e5ece2e9ac30016b522c5,1,1,al9gerxp,,,,,0
80,h8r46rqn,6111782b298eff6c31853ea8,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:29:59.001954,1,,,5.0,80,,0.0,6111782b298eff6c31853ea8,1,1,al9gerxp,,,,,0
81,wiobcsgn,5cb553b7a0ccb30017e5b617,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:01.430075,1,,,9.0,81,,0.0,5cb553b7a0ccb30017e5b617,1,1,al9gerxp,,,,,0
82,wi7ivi90,5d63867550d0dd0017805976,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:01.955874,1,,,4.0,82,,0.0,5d63867550d0dd0017805976,1,1,al9gerxp,,,,,0
83,nte5w51a,5c01d3c509e9c70001500b10,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:03.059230,1,,,0.0,83,,0.0,5c01d3c509e9c70001500b10,1,1,al9gerxp,,,,,0
84,ceopj5bn,5f5e32a0d6a12c6857b8e127,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:03.529940,1,,,11.0,84,,0.0,5f5e32a0d6a12c6857b8e127,1,1,al9gerxp,,,,,0
85,dwppgoma,60bd784514215b77d2a0f4d8,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:04.909271,1,,,5.0,85,,0.0,60bd784514215b77d2a0f4d8,1,1,al9gerxp,,,,,0
86,qetidtam,5f3e5e066dfaa70464615447,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:05.285753,1,,,6.0,86,,0.0,5f3e5e066dfaa70464615447,1,1,al9gerxp,,,,,0
87,ohzm5sti,61158574ed206f98ac50dba7,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:07.716703,1,,,5.0,87,,0.0,61158574ed206f98ac50dba7,1,1,al9gerxp,,,,,0
88,zn3rnk7e,5d586fdc8200f50001f03a0e,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:07.961656,1,,,9.0,88,,0.0,5d586fdc8200f50001f03a0e,1,1,al9gerxp,,,,,0
89,qgk47hmk,60d3740f31606cb50e49f00c,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:09.705197,1,,,12.0,89,,0.0,60d3740f31606cb50e49f00c,1,1,al9gerxp,,,,,0
90,mqbxki1l,58d069219dbe3f0001258793,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:12.543831,1,,,7.0,90,,0.0,58d069219dbe3f0001258793,1,1,al9gerxp,,,,,0
91,u2zf7piq,57dd766bbcd7150001ded5de,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:18.846109,1,,,0.0,91,,0.0,57dd766bbcd7150001ded5de,1,1,al9gerxp,,,,,0
92,4h3wiu11,6107d9c1e9a66a284ebcb9d3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:35.276693,1,,,4.0,92,,0.0,6107d9c1e9a66a284ebcb9d3,1,1,al9gerxp,,,,,0
93,qthawos1,583b397f54686200010f1d20,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:30:38.934432,1,,,9.0,93,,0.0,583b397f54686200010f1d20,1,1,al9gerxp,,,,,0
94,9jsclvod,6108d6efa698e3dbe3b313d3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:32:17.975470,1,,,5.0,94,,0.0,6108d6efa698e3dbe3b313d3,1,1,al9gerxp,,,,,0
95,qgk9xdvo,6110d7f556da416401efdd5f,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:48.458408,1,,,10.0,95,,0.0,6110d7f556da416401efdd5f,1,1,al9gerxp,,,,,0
96,zrxt1gpi,610e02ecfec09b71ff681d86,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:49.695203,1,,,2.0,96,,0.0,610e02ecfec09b71ff681d86,1,1,al9gerxp,,,,,0
97,ua0weqv6,60ef5b83e2e741ea6d220c92,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:51.334585,1,,,7.0,97,,0.0,60ef5b83e2e741ea6d220c92,1,1,al9gerxp,,,,,0
98,uetkh54g,5edaa52a54fe056e4bc55408,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:51.525869,1,,,0.0,98,,0.0,5edaa52a54fe056e4bc55408,1,1,al9gerxp,,,,,0
99,03zp6r29,614e220aee4e0bd0529d6edd,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:51.601759,1,,,6.0,99,,0.0,614e220aee4e0bd0529d6edd,1,1,al9gerxp,,,,,0
100,ak1avl0v,5ff8b291840bed124061d389,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:51.874732,1,,,10.0,100,,0.0,5ff8b291840bed124061d389,1,1,al9gerxp,,,,,0
101,km7kzcht,615628f39024e679836b778b,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:52.432361,1,,,10.0,101,,0.0,615628f39024e679836b778b,1,1,al9gerxp,,,,,0
102,8g2zgj51,5fd298b32f6cb7062fd9aea0,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:53.320062,1,,,8.0,102,,0.0,5fd298b32f6cb7062fd9aea0,1,1,al9gerxp,,,,,0
103,87qpj1mn,5e4e844553bc702cdf68404d,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:54.343896,1,,,5.0,103,,0.0,5e4e844553bc702cdf68404d,1,1,al9gerxp,,,,,0
104,hfdwsdh4,5b7cbe9db630cf000125dffe,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:55.570377,1,,,10.0,104,,0.0,5b7cbe9db630cf000125dffe,1,1,al9gerxp,,,,,0
105,f3lq0z3k,5ea48ae3461d1044f2d282cc,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:57.089437,1,,,4.0,105,,0.0,5ea48ae3461d1044f2d282cc,1,1,al9gerxp,,,,,0
106,cjgrkyo9,5e38823f0d70ef099d5e5a56,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:57.133201,1,,,10.0,106,,0.0,5e38823f0d70ef099d5e5a56,1,1,al9gerxp,,,,,0
107,mrl767pe,60feed0aea95a63cd3aade71,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:58.366563,1,,,8.0,107,,0.0,60feed0aea95a63cd3aade71,1,1,al9gerxp,,,,,0
108,c9gvdtgq,5f4d2e57030fef9b371373a5,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:58.661624,1,,,10.0,108,,0.0,5f4d2e57030fef9b371373a5,1,1,al9gerxp,,,,,0
109,57vvd46k,60fd9f121d7dd0dbad241575,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:58.833322,1,,,14.0,109,,0.0,60fd9f121d7dd0dbad241575,1,1,al9gerxp,,,,,0
110,s0z6a4b8,60bd28cc95ab27d4f4f6ada3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:34:59.146110,1,,,11.0,110,,0.0,60bd28cc95ab27d4f4f6ada3,1,1,al9gerxp,,,,,0
111,rij5kh66,602a86bb76d5ee0770e1943d,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:00.929167,1,,,7.0,111,,0.0,602a86bb76d5ee0770e1943d,1,1,al9gerxp,,,,,0
112,4yno2nsq,5f4fe40c4af6f3120ff17532,0,8,24,trust_robot_firstmover_strategy,Instructions,2021-12-14 18:35:01.068234,1,,,0.0,112,,0.0,5f4fe40c4af6f3120ff17532,1,1,al9gerxp,,,,,0
113,dmj4v2y9,5c12f106c4b80e000192c472,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:01.110900,1,,,10.0,113,,0.0,5c12f106c4b80e000192c472,1,1,al9gerxp,,,,,0
114,hee9d6x9,5f902184d7badd065adb604b,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:01.991822,1,,,5.0,114,,0.0,5f902184d7badd065adb604b,1,1,al9gerxp,,,,,0
115,j5zwkkoc,6172378d423fdf1acdc2d212,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:03.694806,1,,,6.0,115,,0.0,6172378d423fdf1acdc2d212,1,1,al9gerxp,,,,,0
116,6y1n17ev,5f2b0d992bd6f94c51adeac4,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:03.753476,1,,,5.0,116,,0.0,5f2b0d992bd6f94c51adeac4,1,1,al9gerxp,,,,,0
117,mjsfm4vn,60bcfa3d9cfc3d429181e927,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:03.648543,1,,,9.0,117,,0.0,60bcfa3d9cfc3d429181e927,1,1,al9gerxp,,,,,0
118,wnxj5k2m,5c57ab1509864e0001361c74,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:04.127548,1,,,13.0,118,,0.0,5c57ab1509864e0001361c74,1,1,al9gerxp,,,,,0
119,yfobxqo6,5f7785e49588a42e71b2466a,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:04.641961,1,,,14.0,119,,0.0,5f7785e49588a42e71b2466a,1,1,al9gerxp,,,,,0
120,6fzbwt13,5bc9f8b677740000016a08b5,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:05.144251,1,,,14.0,120,,0.0,5bc9f8b677740000016a08b5,1,1,al9gerxp,,,,,0
121,vzb872hp,6109482350367148ce0aa834,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:05.614445,1,,,10.0,121,,0.0,6109482350367148ce0aa834,1,1,al9gerxp,,,,,0
122,x6xqh33z,6101667971d68405d105698a,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:05.951441,1,,,9.0,122,,0.0,6101667971d68405d105698a,1,1,al9gerxp,,,,,0
123,e82c1oj5,615fad239fd8b6f7c048057a,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:06.315658,1,,,14.0,123,,0.0,615fad239fd8b6f7c048057a,1,1,al9gerxp,,,,,0
124,e8xicilf,5e46f490a5748507c57e3c5f,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:06.952246,1,,,0.0,124,,0.0,5e46f490a5748507c57e3c5f,1,1,al9gerxp,,,,,0
125,wql1znsf,60fcb2b45504d8488ab13968,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:08.577601,1,,,11.0,125,,0.0,60fcb2b45504d8488ab13968,1,1,al9gerxp,,,,,0
126,0ax8av86,5e71a80784155f0c75a56c70,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:08.863976,1,,,13.0,126,,0.0,5e71a80784155f0c75a56c70,1,1,al9gerxp,,,,,0
127,9tu3pusy,61003d8f50af08227da7fd77,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:09.232005,1,,,12.0,127,,0.0,61003d8f50af08227da7fd77,1,1,al9gerxp,,,,,0
128,m3tr0a56,5dbf704fa3f5cb40876271fc,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:09.237891,1,,,5.0,128,,0.0,5dbf704fa3f5cb40876271fc,1,1,al9gerxp,,,,,0
129,hah22424,5dd3e5b66d52253c0e37e402,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:19.385520,1,,,13.0,129,,0.0,5dd3e5b66d52253c0e37e402,1,1,al9gerxp,,,,,0
130,x8faevzn,60b6938ae5e1bcc48326db9e,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:25.763652,1,,,7.0,130,,0.0,60b6938ae5e1bcc48326db9e,1,1,al9gerxp,,,,,0
131,lxaus657,57dd186e6598aa0001992616,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:26.406621,1,,,4.0,131,,0.0,57dd186e6598aa0001992616,1,1,al9gerxp,,,,,0
132,geyktwmh,5ee3a34e16ad19048aef74f6,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:31.218658,1,,,5.0,132,,0.0,5ee3a34e16ad19048aef74f6,1,1,al9gerxp,,,,,0
133,tn3f5k6t,604b9e6373c491acd8aec923,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:35.172093,1,,,5.0,133,,0.0,604b9e6373c491acd8aec923,1,1,al9gerxp,,,,,0
134,ssnevi3r,61280902667000b761f45570,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:37.411535,1,,,4.0,134,,0.0,61280902667000b761f45570,1,1,al9gerxp,,,,,0
135,xi410quy,5fe17e28d8918b3fae67ec4d,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:35:56.845825,1,,,2.0,135,,0.0,5fe17e28d8918b3fae67ec4d,1,1,al9gerxp,,,,,0
136,hufrkryu,61095aa08fbfc362fd8c2f4b,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:36:04.357669,1,,,5.0,136,,0.0,61095aa08fbfc362fd8c2f4b,1,1,al9gerxp,,,,,0
137,l3667ots,61230b14a3bcb65c585dfdaa,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:36:07.093120,1,,,0.0,137,,0.0,61230b14a3bcb65c585dfdaa,1,1,al9gerxp,,,,,0
138,c23h2j8o,6026d1eca0c0d1400dcfbbd6,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:36:15.660201,1,,,8.0,138,,0.0,6026d1eca0c0d1400dcfbbd6,1,1,al9gerxp,,,,,0
139,nc354vqh,5dccb82a76eab294aa4837ff,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:36:50.025801,1,,,6.0,139,,0.0,5dccb82a76eab294aa4837ff,1,1,al9gerxp,,,,,0
140,a8ue9y7h,5ecd4acdb218ec085c6eefe6,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:37:51.349117,1,,,0.0,140,,0.0,5ecd4acdb218ec085c6eefe6,1,1,al9gerxp,,,,,0
141,ccdbc80c,5f981f8cf4b92c07ac93e2fe,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:18.404343,1,,,0.0,141,,0.0,5f981f8cf4b92c07ac93e2fe,1,1,al9gerxp,,,,,0
142,12ov3vbd,5e0e1b8800a6bf000a694f79,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:29.686159,1,,,0.0,142,,0.0,5e0e1b8800a6bf000a694f79,1,1,al9gerxp,,,,,0
143,zt4jd3ax,5eaf1a2c649fd108284c2b5f,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:30.763967,1,,,9.0,143,,0.0,5eaf1a2c649fd108284c2b5f,1,1,al9gerxp,,,,,0
144,wdb32tbf,581649f0b434f0000184d2a9,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:30.867606,1,,,12.0,144,,0.0,581649f0b434f0000184d2a9,1,1,al9gerxp,,,,,0
145,vr6b29m5,60d105cd7e245d9c98c756ab,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:34.445852,1,,,7.0,145,,0.0,60d105cd7e245d9c98c756ab,1,1,al9gerxp,,,,,0
146,5lvad1tb,615c777509f34c8977bc45a7,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:35.814583,1,,,9.0,146,,0.0,615c777509f34c8977bc45a7,1,1,al9gerxp,,,,,0
147,1yus2ogp,5f2a12f5837dd81e5881b7cc,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:38:37.166228,1,,,10.0,147,,0.0,5f2a12f5837dd81e5881b7cc,1,1,al9gerxp,,,,,0
